event_start,event_end,event_peak,event_peak_D_s-1,event_peak_D_1e5_s-1,duration_hours,year,month,season_year,detection_threshold_s-1,detection_threshold_1e5_s-1,slp_diff_hpa,zeta_box_mean_s-1,slp_climatology_mean_hpa,slp_climatology_std_hpa,monsoon_type,shinoda_class,episode_span_hours,threshold_hit_hours,merged_subevents_count,total_internal_gap_hours,max_internal_gap_hours
2005-02-24 14:00:00,2005-02-25 08:00:00,2005-02-24 22:00:00,-3.1435186613196866e-05,-3.143518661319687,19,2005,2,2005,-1.957567489476574e-05,-1.957567489476574,3.3288281249999727,4.832769070587279e-07,8.544206619262695,8.269665718078613,Type 2 weak-monsoon,Type 2 weak-monsoon,19,19,1,0.0,0.0
2005-11-06 07:00:00,2005-11-06 15:00:00,2005-11-06 09:00:00,-2.14920286310214e-05,-2.1492028631021403,9,2005,11,2006,-1.8216529439979125e-05,-1.8216529439979128,-10.152812499999982,7.83167449003291e-06,6.145678043365479,7.906016826629639,Type 2 weak-monsoon,Type 2 weak-monsoon,9,9,1,0.0,0.0
2005-11-18 00:00:00,2005-11-18 02:00:00,2005-11-18 01:00:00,-1.8566780928640714e-05,-1.8566780928640716,3,2005,11,2006,-1.8216529439979125e-05,-1.8216529439979128,12.4583593750001,7.494254630916312e-07,6.145678043365479,7.906016826629639,Type 1 strong-monsoon,Type 1A lower-vorticity,3,3,1,0.0,0.0
2005-11-28 16:00:00,2005-11-29 00:00:00,2005-11-28 20:00:00,-2.213039682050157e-05,-2.213039682050157,9,2005,11,2006,-1.8216529439979125e-05,-1.8216529439979128,2.312734374999991,2.5573139909151624e-05,6.145678043365479,7.906016826629639,Type 2 weak-monsoon,Type 2 weak-monsoon,9,9,1,0.0,0.0
2005-12-04 01:00:00,2005-12-04 12:00:00,2005-12-04 05:00:00,-3.845510743935324e-05,-3.845510743935324,12,2005,12,2006,-2.5691567478831536e-05,-2.5691567478831536,7.802578124999968,1.6397120069224097e-05,10.767045021057127,9.112839698791504,Type 2 weak-monsoon,Type 2 weak-monsoon,12,12,1,0.0,0.0
2005-12-07 04:00:00,2005-12-07 20:00:00,2005-12-07 12:00:00,-2.9561258399826588e-05,-2.9561258399826587,17,2005,12,2006,-2.5691567478831536e-05,-2.5691567478831536,5.1861718749999,1.6805250979031386e-06,10.767045021057127,9.112839698791504,Type 2 weak-monsoon,Type 2 weak-monsoon,17,17,1,0.0,0.0
2005-12-11 22:00:00,2005-12-12 07:00:00,2005-12-12 02:00:00,-3.130867170549021e-05,-3.1308671705490214,10,2005,12,2006,-2.5691567478831536e-05,-2.5691567478831536,16.932656249999923,1.9621816592455143e-06,10.767045021057127,9.112839698791504,Type 1 strong-monsoon,Type 1A lower-vorticity,10,10,1,0.0,0.0
2005-12-17 02:00:00,2005-12-17 11:00:00,2005-12-17 07:00:00,-3.0397668135432445e-05,-3.0397668135432445,10,2005,12,2006,-2.5691567478831536e-05,-2.5691567478831536,13.846875000000068,1.2603913564195538e-05,10.767045021057127,9.112839698791504,Type 1 strong-monsoon,Type 1A lower-vorticity,10,10,1,0.0,0.0
2005-12-21 11:00:00,2005-12-21 16:00:00,2005-12-21 13:00:00,-2.7281968436749337e-05,-2.728196843674933,6,2005,12,2006,-2.5691567478831536e-05,-2.5691567478831536,10.25382812500004,1.3254438469485758e-05,10.767045021057127,9.112839698791504,Type 2 weak-monsoon,Type 2 weak-monsoon,6,6,1,0.0,0.0
2006-02-02 07:00:00,2006-02-02 17:00:00,2006-02-02 11:00:00,-2.7171222396251796e-05,-2.717122239625179,11,2006,2,2006,-1.957567489476574e-05,-1.957567489476574,11.650234375000082,-6.185194498304116e-06,8.544206619262695,8.269665718078613,Type 1 strong-monsoon,Type 1A lower-vorticity,11,11,1,0.0,0.0
2006-02-07 22:00:00,2006-02-08 09:00:00,2006-02-08 03:00:00,-3.095579549328696e-05,-3.095579549328696,12,2006,2,2006,-1.957567489476574e-05,-1.957567489476574,16.92046874999994,4.054860436383751e-06,8.544206619262695,8.269665718078613,Type 1 strong-monsoon,Type 1A lower-vorticity,12,12,1,0.0,0.0
2006-11-06 19:00:00,2006-11-07 04:00:00,2006-11-07 00:00:00,-2.209342051000369e-05,-2.209342051000369,10,2006,11,2007,-1.8216529439979125e-05,-1.8216529439979128,14.24992187500004,1.8168706167720744e-05,6.145678043365479,7.906016826629639,Type 1 strong-monsoon,Type 1B higher-vorticity,10,10,1,0.0,0.0
2006-11-13 18:00:00,2006-11-14 12:00:00,2006-11-14 00:00:00,-2.2658642487041825e-05,-2.2658642487041827,19,2006,11,2007,-1.8216529439979125e-05,-1.8216529439979128,11.004062500000032,3.590688308978286e-06,6.145678043365479,7.906016826629639,Type 1 strong-monsoon,Type 1A lower-vorticity,19,19,1,0.0,0.0
